ABSLATIT,AIRDIST,AVELF,BUDDHA,CIV72,COLONY,CONFUC,DENS60,DENS65C,DENS65I,DPOP6090,EAST,ECORG,EUROPE,FERTLDC1,GDE1,GDPCH60L,GEEREC1,GOVSH61,GVR61,H60,HERF00,IPRICE1,LAAM,LANDLOCK,LIFE060,LT100CR,MALFAL66,NEWSTATE,OPENDEC1,OTHFRAC,P60,PRIGHTS,POP1560,POP60,POP6560,PRIEXP70,RERD,REVCOUP,SAFRICA,SIZE60,SPAIN,TROPICAR,TROPPOP,WARTIME,WARTORN,YRSOPEN,ZTROPICS,y
3.684,6330,0.669275,0,0,1,0,345.6478,12.39925,2.793233,0.027473,0,1,0,1.771897,0.025,7.023759,0.0311,0.32,0.2669,0,0.95125,143,0,0,47.3,0.05,1,2,0.883,0,0.78,6.56,0.4082,988,0.034413,0.71,191,0.36,1,13.919442,0,1,0.862,0,0,0,0.027556,1.51
2.062,4580,0.325357,0,0.6667,1,0,62.7328,30.30622,11.7418,0.029481,0,3,0,1.84814,0.021,7.286876,0.0155,0.17,0.1325,0.03,0.784258,26.54,1,0,53.4,0.38,0.2135,0,0.4015,0.714,0.83,3.72,0.4482,4413,0.040109,0.983,113,0.56,0,15.679186,1,1,0.4694,0,0,0.84,0.389073,1.54
27.712,5160,0.45,0.05,0.3333,0,0,14.547,0,75.83333,0.023891,0,5,0,1.844984,0.005,6.44254,0.0048,0.27,0.2552,0.01,0.6334,78.35,0,1,38.5,0,0.04617,0,0.1495,0,0.1,4.33,0.3845,9404,0.039239,0.649,73,0.08,0,15.591431,0,0,0,0,0,0.09,0.054956,1.58
16.759,3360,0.174074,0,0.6667,1,0,51.8819,17.43064,24.48998,0.028529,0,3,0,1.86377,0.007,7.95015,0.0134,0.06,0.0436,0.03,0.976218,55.77,1,0,57.3,0.37,0.00013,0,0.1605,0.88,0.8,3.67,0.4562,38020,0.033009,0.675,71,0,0,18.496018,1,0.4659,0.36775,0,0,0.2,0.112466,1.76
51.51,320,0.106285,0,1,0,0,4.6132,199.0842,537.0287,0.002768,0,4,1,0.893227,0.063,8.828055,0.0345,0.2,0.1005,0.09,0.829218,79.31,0,0,70.8,1,0,0,0.45,0,0.92,1,0.2325,52372,0.116837,0.167,99,0.24,0,19.694182,0,0,0,0,0,0.78,0,2.03
59.278,1200,0.065037,0,1,0,0,55.0294,43.88341,7.955152,0.003828,0,4,1,0.726098,0.041,8.93485,0.0412,0.18,0.0968,0.09,0.976266,91.25,0,0,73.2,0.3,0,0,0.4725,0,0.96,1.06,0.2199,7480,0.119652,0.251,142,0,0,17.854838,0,0,0,0,0,0.78,0,2.13
10.418,3600,0.23127,0,0.6667,1,0,6.0854,174.6589,0,0.013987,0,3,0,1.316944,0.004,8.635332,0.0204,0.05,0.0236,0.01,0.316388,83.47,1,0,63.9,1,0,2,0.871,0.036,0.88,1.56,0.4305,843,0.039146,0.869,96,0.05,0,15.372299,0,1,0,0,0,0,0,2.16
32.219,7800,0.112797,0,1,1,0,741.0994,6.251487,0.307826,0.016453,0,5,1,1.027474,0.028,8.959569,0.0217,0.1,0.0513,0.13,0.59546,68.82,0,0,70.7,0.2,0,0,0.2955,0,1,1,0.3009,10315,0.084634,0.811,129,0,0,18.200923,0,0.3857,0.01649,0,0,0.69,0.160221,2.18
43.727,540,0.376188,0,1,1,0,514.8791,13.4373,1.889658,0.013423,0,5,1,0.84286,0.04,8.88986,0.0365,0.13,0.0535,0.16,0.496884,103.62,0,0,71.1,0.05,0,0,0.4305,0.243,1,1,0.3354,17909,0.07499,0.488,83,0,0,18.682918,0,0,0,0,0,0.96,0,2.21
34.36,140,0.209031,0,1,1,0,50.695,71.91255,14.83697,0.011011,0,5,1,0.858238,0.088,9.199785,0.0383,0.16,0.0317,0.32,0.53531,84.59,0,0,69.8,0.26,0,0,0.1155,0.089,1,1,0.3104,180671,0.092311,0.298,90,0,0,21.304218,0,0.0018,0,0.32,1,1,0.000941,2.27
6.868,6850,0.325747,0.69,0.6667,1,0,6.5355,171.5903,351.3485,0.019052,0,2,0,1.488174,0.01,7.138073,0.0382,0.24,0.1928,0.01,0.4167,124.85,0,0,62.3,0.99,0.038,2,0.6095,0,0.95,2.44,0.4207,9889,0.036202,0.986,51,0.08,0,16.337251,0,1,0.0471,0.04,1,0.4,0.636712,2.28
4.788,4030,0.055796,0,0.8333,1,0,65.1672,30.34203,15.43562,0.02444,0,3,0,1.685102,0.017,7.428927,0.023,0.1,0.06,0.02,0.677206,61.33,1,0,53.2,0.28,0.26418,0,0.2725,0.98,0.77,2.11,0.4633,15939,0.032185,0.919,81,0,0,17.105451,1,1,0.7533,0.32,1,0.09,0.566813,2.29
33.554,8290,0.050625,0,0.8333,1,0,98.3452,9.127183,15.93215,0.018302,0,5,0,1.39674,0.023,7.96728,0.0262,0.2,0.1518,0.04,0.922614,60.49,1,0,57.3,0.68,0,0,0.29,0.931,1,5.78,0.3939,7614,0.047413,0.956,100,0.2,0,16.905024,1,0.1625,0.054,0.04,1,0.42,0,2.33
55.718,765,0.0275,0,1,0,0,9.2622,112.1376,0,0.003714,0,4,1,0.767327,0.028,8.818778,0.0339,0.16,0.0951,0.1,0.984086,70.24,0,0,72.2,1,0,0,0.5835,0.005,1,1,0.2524,4581,0.105872,0.46,112,0,0,17.248451,0,0,0,0,0,0.78,0,2.4
51.874,140,0.063435,0,1,0,0,2.9547,353.6062,414.5556,0.00854,0,4,1,0.91549,0.044,8.712266,0.0412,0.15,0.0678,0.13,0.499461,63.92,0,0,73.3,1,0,0,0.8505,0,1,1,0.3,11480,0.09007,0.433,105,0,0,18.060628,0,0,0,0,0,0.8,0,2.4
31.173,5950,0.62156,0,0.3333,1,0,15.4315,67.62395,74.80611,0.030556,0,3,0,1.960376,0.026,6.458338,0.0154,0.18,0.1396,0.01,0.702976,56.4,0,0,43.3,0.09,0.42897,2,0.2445,0,0.3,4.94,0.4366,49955,0.041577,0.428,77,0.32,0,17.277216,0,0,0,0.08,1,0,0.036751,2.4
9.206,3590,0.190833,0,0.1667,1,0,64.8345,17.50638,0,0.024991,0,3,0,1.657275,0.005,7.362011,0.0365,0.22,0.1825,0.05,0.76685,87.23,1,0,60.9,1,0.24564,0,0.8065,0.695,0.96,5.72,0.4349,1148,0.04007,0.964,129,0.16,0,14.407787,1,1,0,0,0,0.28,0.459623,2.43
29.996,3250,0.023062,0,0.1667,1,0,38.4017,64.09662,21.52594,0.023792,0,1,0,1.80237,0.062,6.695799,0.045,0.28,0.177,0.05,0.67591,287.27,0,0,46.4,0.39,0.028,1,0.358,0.97,0.66,5.11,0.4243,25922,0.032829,0.729,168,0.16,0,16.858646,0,0.1658,0.12488,0.08,1,0,0,2.45
25.274,5860,0.742197,0.01,0.6667,1,0,6.7214,238.6484,153.134,0.022118,0,3,0,1.761128,0.028,6.641182,0.021,0.33,0.281,0.03,0.684086,57.24,0,0,42.5,0.25,0.13186,2,0.095,0,0.61,2,0.3974,442344,0.034322,0.48,94,0.12,0,19.641025,0,0.5119,0.3929,0.04,1,0.02,0.459245,2.46
18.561,2420,0.010831,0,0.8333,1,0,14.9737,78.66887,0,0.026829,0,3,0,1.814336,0.039,7.085901,0.0187,0.18,0.1203,0.01,0.956888,90.57,1,0,52.2,1,0.938,0,0.431,0.87,0.98,2.17,0.4682,3231,0.030331,0.804,129,0.36,0,15.166448,0,1,0,0.04,1,0,0,2.55
48.161,240,0.043755,0,1,0,0,6.3008,120.6083,239.8791,0.002908,0,5,1,0.734769,0.045,8.790269,0.0211,0.15,0.0839,0.06,0.484274,66.44,0,0,69.4,0.94,0,0,0.3965,0.949,1,1,0.2133,55433,0.108455,0.109,109,0.08,0,19.713199,0,0,0,0,0,0.8,0,2.57
41.202,2520,0.163568,0,0.5,0,0,27.9774,56.84623,30.27788,0.024306,0,3,0,1.670721,0.05,7.391415,0.0268,0.11,0.0322,0.03,0.631418,44.48,0,0,50.5,0.39,0,1,0.156,0.014,0.75,3.33,0.412,27509,0.035334,0.911,99,0.31,0,17.613684,0,0,0,0.08,1,0.13,0,2.57
48.857,440,0.145484,0,0.8333,0,0,12.0414,88.70178,88.60191,0.007078,0,4,1,0.925052,0.059,8.669571,0.0231,0.16,0.0799,0.08,0.94334,82.04,0,0,70.4,0.85,0,0,0.3055,1.004,1,1,0.2638,45684,0.116387,0.253,98,0,0,19.399074,0,0,0,0,0,0.8,0,2.63
25.583,7580,0.411111,0,0.1667,1,0,223.9572,0,5.162346,0.029773,0,3,0,1.793924,0.017,7.070724,0.0138,0.15,0.1182,0.02,0.934312,92.6,1,1,63.9,0.32,0.034,0,0.2995,0.036,0.98,4.94,0.4606,1774,0.032695,0.911,141,0.08,0,14.551716,1,0.5614,0.5,0,0,0.13,0.150223,2.63
50.837,190,0.363834,0,1,0,0,3.5857,420.7111,161.5809,0.002494,0,5,1,0.806029,0.035,8.611594,0.0463,0.11,0.0297,0.09,0.976214,69.91,0,0,69.7,0.99,0,0,0.974,0.345,1,1,0.2352,9153,0.119633,0.238,100,0,0,17.733431,0,0,0,0,0,0.78,0,2.68
29.595,9320,0.209762,0,0.5,1,0,34.8851,0,31.72982,0.02361,0,5,0,1.757858,0,5.746203,0.0459,0.08,0.0291,0,0.802942,71.53,0,1,47.7,0,0,2,0.802,0,0.83,5.22,0.4055,870,0.039081,0.933,126,0.05,1,12.514696,0,0,0,0,0,0.37,0,2.69
60.212,1640,0.105,0,0.8333,0,0,68.7562,33.61261,7.619513,0.004215,0,4,1,0.648673,0.019,8.573763,0.0446,0.13,0.0624,0.07,0.964614,59.9,0,0,68.5,0.29,0,1,0.4775,0,0.97,1.83,0.3041,4430,0.072009,0.333,126,0,0,16.969917,0,0,0,0,0,0.78,0,2.72
0.372,5790,0.796667,0,0.1667,1,0,530.1852,3.438613,1.382892,0.030233,0,5,0,1.437938,0.01,7.489412,0.0224,0.09,0.0606,0,0.877262,115.11,0,0,40.9,0.27,1,2,1.055,0.06,1,6,0.3246,486,0.063786,0.91,169,0.12,1,13.675621,0,1,0.6198,0,0,0,0.166902,2.77
48.231,840,0.033212,0,1,0,0,11.7381,66.78308,88.04961,0.002368,0,4,1,0.858238,0.012,8.545392,0.0248,0.15,0.1142,0.08,0.89265,74.54,0,1,68.8,0.62,0,1,0.565,0.98,1,1,0.2213,7048,0.12046,0.198,100,0,0,17.405891,0,0,0,0,0,0.78,0,2.89
33.458,3290,0.094792,0,0,1,0,40.2938,62.65871,23.97632,0.033415,0,1,0,2.041869,0.075,7.362011,0.0304,0.1,0.01,0.04,0.704255,43.68,0,0,50,0.14,0.0644,2,0.4095,0.798,0.65,5.83,0.4441,4561,0.03793,0.906,78,0.85,0,15.787308,0,0,0,0.08,1,0.33,0,2.9
19.557,7700,0.055781,0,0.3333,1,0,116.4905,36.76809,7.235476,0.024528,0,3,0,1.614625,0.017,7.486613,0.0041,0.14,0.1199,0.02,0.909588,48.22,1,0,54.9,0.21,0.4005,0,0.1485,0.998,0.95,3.39,0.4357,72594,0.028969,0.858,97,0.12,0,18.679251,0,0.9308,0.3378,0,0,0.09,0.33407,2.94
45.415,1270,0.038868,0,0.8333,0,0,5.8578,169.9543,202.5813,0.004732,0,3,1,0.902597,0.032,8.425955,0.0303,0.13,0.0717,0.07,0.992022,55.6,0,0,69.4,0.86,0,0,0.3275,0.006,1,1.22,0.2493,50200,0.093108,0.168,92,0.04,0,19.249725,0,0,0,0,0,0.8,0,2.98
32.084,3300,0.327056,0,0.6667,1,0,9.754,131.6355,21.76648,0.026064,0,4,0,1.326279,0.064,8.153925,0.0368,0.24,0.1422,0.1,0.705736,94.21,0,0,71.7,0.92,0,2,0.638,0.338,0.98,2,0.3604,2114,0.048723,0.295,110,0,0,15.810262,0,0,0,0.08,1,0.22,0,3.03
33.593,2175,0.347972,0,0.5,1,0,38.3881,51.21938,17.41801,0.025559,0,3,0,1.936293,0.027,6.703188,0.0305,0.12,0.0635,0,0.930222,120.1,0,0,46.9,0.38,0,2,0.396,0.74,0.47,4.17,0.4487,11626,0.02589,0.903,123,0.08,0,16.064187,0,0,0,0.44,1,0.44,0,3.12
59.977,1000,0.069884,0,1,0,0,85.6828,22.41369,2.763691,0.005482,0,4,1,0.948564,0.034,8.632306,0.0349,0.13,0.0621,0.07,0.984102,79.39,0,0,73.4,0.48,0,0,0.851,0,1,1,0.2588,3581,0.111142,0.446,107,0,0,16.815703,0,0,0,0,0,0.78,0,3.18
36.816,1740,0.070252,0,0.3333,1,0,36.8064,51.07906,10.18829,0.022372,0,4,0,1.868875,0.019,7.003974,0.0369,0.17,0.1151,0.01,0.773602,110.44,0,0,48.6,0.47,0,2,0.5205,0.986,0.66,5.61,0.4337,4221,0.041696,0.808,104,0,0,15.351801,0,0,0,0,0,0.13,0,3.28
38.058,2130,0.077778,0,0.1667,0,0,15.4798,69.06823,30.08471,0.006873,0,4,1,0.871293,0.041,7.646354,0.0137,0.12,0.0643,0.04,0.740986,65.51,0,0,68.8,0.93,0,0,0.3155,0,1,1.94,0.2646,8327,0.082503,0.654,116,0.2,0,16.673612,0,0,0,0.08,1,0.8,0,3.43
37.398,1420,0.274516,0,0.1667,0,0,16.3993,98.96389,39.98909,0.00883,0,5,1,1.055705,0.02,8.046549,0.0097,0.11,0.0793,0.04,1,48.44,0,0,68.9,0.46,0,0,0.2705,0.728,1,2.39,0.2741,30455,0.082056,0.465,89,0.08,0,18.370555,0,0,0,0,0,0.78,0,3.55
54.611,800,0.090357,0,0.8333,1,0,24.3084,42.4618,34.21706,0.008975,0,5,1,1.348073,0.014,8.105006,0.0286,0.14,0.0964,0.08,0.813426,67.58,0,0,69.7,0.91,0,1,0.823,0,1,1,0.3111,2834,0.111856,0.593,119,0,0,16.05445,0,0,0,0,0,0.64,0,3.73
